# חיה(|שמות נוספים)	הקול שלה (או - אם אין)	שם הצאצא (או - אם אין)	מחלקה
כלב|כלבה	נובח, הב הב	גור	יונקים
חתול|חתולה	מיילל, מיאו	גור חתולים	יונקים
פרה	גועה, מו	עגל	יונקים
שור	גועה	עגל	יונקים
סוס	צוהל	סייח	יונקים
חמור	נוער, איה איה	עייר	יונקים
כבשה|כבש	פועה, מה	טלה	יונקים
עז|עיזה	פועה, מה	גדי	יונקים
חזיר	נוחר, אוינק	חזרזיר	יונקים
תרנגול	קורא, קוקוריקו	אפרוח	עופות
תרנגולת	מקרקרת	אפרוח	עופות
ברווז	מגעגע, גע גע	ברווזון	עופות
אווז	מגעגע	אווזון	עופות
אריה|לביאה	שואג	גור אריות	יונקים
נמר	נוהם	גור	יונקים
זאב	מיילל אווו	גור זאבים	יונקים
שועל	נובח ומייבב	גור	יונקים
דוב	נוהם	דובון	יונקים
פיל	משמיע קול כמו חצוצרה	פילון	יונקים
קוף	מצווח, או או אה אה	גור קופים	יונקים
ג'ירפה	כמעט שקטה, מזמזמת בלילה	עגל	יונקים
זברה	נובחת וצוהלת	סייח	יונקים
גמל	נוהם ונוער	בכר	יונקים
צבי	נועה	עופר	יונקים
ארנב|ארנבת	כמעט שקט, לפעמים מתופף ברגליים	גור ארנבים	יונקים
שפן	צווח	גור	יונקים
עכבר	מצייץ, צי צי	גור עכברים	יונקים
חולדה	מצייצת	גור	יונקים
סנאי	מצייץ ומטרטר	גור	יונקים
קיפוד	נוחר	גור קיפודים	יונקים
עטלף	משמיע צפצופים על קוליים	גור	יונקים
דולפין	משמיע צקצוקים ושריקות	עגל	יונקים
לווייתן|לויתן	שר שירים ארוכים	עגל	יונקים
כלב ים	נובח	גור	יונקים
קנגורו	נוחר ומקיש	קנגורון	יונקים
קואלה	נוהם בקול עמוק	גור	יונקים
היפופוטם	נוחר ורוטן	עגל	יונקים
קרנף	נוחר	עגל	יונקים
גורילה	נוהמת ומכה בחזה	גור	יונקים
צ'יטה	מצייצת ומגרגרת	גור	יונקים
צבוע	צוחק	גור	יונקים
גירית	נוהמת	גור	יונקים
דורבן	נוהם ומקשקש בקוצים	גור	יונקים
פנדה	פועה ונוהמת	גור	יונקים
לוטרה	מצייצת	גור	יונקים
בונה	נוהם	גור	יונקים
ינשוף	משמיע הו הו	גוזל	עופות
תוכי	מדבר ומחקה קולות	גוזל	עופות
יונה	הוגה, קורקור	גוזל	עופות
דרור	מצייץ	גוזל	עופות
עורב	קורא, קרע קרע	גוזל	עופות
נשר	צווח	גוזל	עופות
עיט	צווח	גוזל	עופות
תנשמת	צורחת	גוזל	עופות
שחף	צווח	גוזל	עופות
פינגווין	קורא בקול צפצוף	אפרוח	עופות
יען	נוהם	אפרוח	עופות
טווס	צורח	אפרוח	עופות
הודו|תרנגול הודו	מגרגר, גלו גלו	אפרוח	עופות
ברבור	נושף	ברבורון	עופות
חסידה	מקשקשת במקור	גוזל	עופות
שלדג	מצייץ	גוזל	עופות
נחש	לוחש, ששש	גור נחשים	זוחלים
תנין	נוהם	גור תנינים	זוחלים
צב	כמעט שקט	צבצב	זוחלים
לטאה	שקטה	גור	זוחלים
זיקית	שקטה	גור	זוחלים
שממית	מצקצקת	גור	זוחלים
צפרדע	מקרקרת, קוואק	ראשן	דו חיים
קרפדה	מקרקרת	ראשן	דו חיים
סלמנדרה	שקטה	זחל	דו חיים
דג	שקט	דגיג	דגים
כריש	שקט	גור כרישים	דגים
סוסון ים	מקיש	דגיג	דגים
דבורה	מזמזמת, בזזז	זחל	חרקים
זבוב	מזמזם	רימה	חרקים
יתוש	מזמזם	זחל	חרקים
צרצר	מצרצר	נימפה	חרקים
ארבה	מרשרש	נימפה	חרקים
פרפר	שקט	זחל	חרקים
נמלה	שקטה	זחל	חרקים
חיפושית	שקטה	זחל	חרקים
עכביש	שקט	עכבישון	עכבישנים
עקרב	שקט	גור	עכבישנים
תמנון	שקט	זחל	רכיכות
חילזון	שקט	-	רכיכות
סרטן	מקיש בצבתות	זחל	סרטנים
