# מאכל(|שמות נוספים)	ברכה ראשונה	ברכה אחרונה
# ראשונה: H=המוציא M=מזונות G=הגפן E=העץ A=האדמה S=שהכל
# אחרונה: BM=ברכת המזון ME=על המחיה GF=על הגפן EZ=על העץ N=בורא נפשות
לחם	H	BM
פיתה	H	BM
חלה	H	BM
לחמנייה|לחמניה	H	BM
באגט	H	BM
מצה	H	BM
טוסט	H	BM
בייגל	H	BM
עוגה	M	ME
עוגיות|עוגייה|עוגיה	M	ME
בורקס	M	ME
קרקרים|קרקר	M	ME
פסטה|ספגטי|מקרוני	M	ME
פתיתים	M	ME
קוסקוס	M	ME
וופל|ופלים	M	ME
קרואסון	M	ME
רוגלך	M	ME
ביסקוויט|ביסקוויטים	M	ME
פנקייק|לביבות קמח	M	ME
דייסת שיבולת שועל|קוואקר	M	ME
בייגלה	M	ME
שקדי מרק	M	ME
קורנפלקס	A	N
אורז	M	N
במבה	A	N
ביסלי	M	ME
תפוצ'יפס|צ'יפס	A	N
פופקורן	A	N
יין	G	GF
מיץ ענבים	G	GF
ענבים	E	EZ
תאנים|תאנה	E	EZ
רימון|רימונים	E	EZ
זיתים|זית	E	EZ
תמרים|תמר	E	EZ
תפוח|תפוחים|תפוח עץ	E	N
אגס|אגסים	E	N
שזיף|שזיפים	E	N
אפרסק|אפרסקים	E	N
משמש|משמשים	E	N
דובדבן|דובדבנים	E	N
תפוז|תפוזים	E	N
קלמנטינה|קלמנטינות	E	N
לימון	E	N
אשכולית	E	N
פומלה	E	N
מנגו	E	N
אבוקדו	E	N
קיווי	E	N
שסק	E	N
אפרסמון	E	N
נקטרינה|נקטרינות	E	N
ליצ'י	E	N
גויאבה	E	N
תות עץ	E	N
אגוזים|אגוז|אגוזי מלך	E	N
שקדים|שקד	E	N
פקאן	E	N
פיסטוקים|פיסטוק	E	N
קשיו	E	N
לוז|אגוזי לוז	E	N
ערמונים	E	N
צימוקים	E	EZ
בננה|בננות	A	N
תות|תותים|תות שדה	A	N
אבטיח	A	N
מלון	A	N
אננס	A	N
מלפפון|מלפפונים	A	N
עגבנייה|עגבניה|עגבניות	A	N
גזר	A	N
תפוח אדמה|תפוחי אדמה	A	N
בטטה	A	N
פלפל	A	N
חסה	A	N
כרוב	A	N
בצל	A	N
שום	A	N
קישוא|קישואים	A	N
חציל	A	N
תירס	A	N
סלק	A	N
צנונית	A	N
ברוקולי	A	N
כרובית	A	N
תרד	A	N
אפונה	A	N
שעועית	A	N
עדשים	A	N
בוטנים	A	N
גרעינים	A	N
סלט ירקות	A	N
פטריות|פטרייה	S	N
מים	S	N
חלב	S	N
גבינה	S	N
יוגורט	S	N
ביצה|ביצים	S	N
בשר	S	N
עוף	S	N
דג|דגים	S	N
שניצל	S	N
נקניקייה|נקניקיה	S	N
קפה	S	N
תה	S	N
קולה|שתייה מוגזת|סודה	S	N
מיץ תפוזים	S	N
מיץ תפוחים	S	N
שוקו	S	N
שוקולד	S	N
סוכריה|סוכריות	S	N
גלידה	S	N
ארטיק	S	N
מסטיק	S	N
חלבה	S	N
ממתק|ממתקים	S	N
ביסלי גריל	M	ME
טחינה	S	N
דבש	S	N
ריבה	S	N
קוטג'	S	N
מרק עוף	S	N
בירה	S	N
וודקה	S	N
ג'לי	S	N
פודינג	S	N
שמנת	S	N
