# מדינה(|שמות נוספים)	בירה(|שמות נוספים)	יבשת
ישראל|מדינת ישראל	ירושלים	אסיה
ארצות הברית|אמריקה|ארה"ב	וושינגטון	צפון אמריקה
קנדה	אוטווה	צפון אמריקה
מקסיקו	מקסיקו סיטי	צפון אמריקה
גואטמלה	גואטמלה סיטי	צפון אמריקה
בליז	בלמופן	צפון אמריקה
הונדורס	טגוסיגלפה	צפון אמריקה
אל סלבדור	סן סלבדור	צפון אמריקה
ניקרגואה	מנגואה	צפון אמריקה
קוסטה ריקה	סן חוסה	צפון אמריקה
פנמה	פנמה סיטי	צפון אמריקה
קובה	הוואנה	צפון אמריקה
ג'מייקה	קינגסטון	צפון אמריקה
האיטי	פורט או פרינס	צפון אמריקה
הרפובליקה הדומיניקנית	סנטו דומינגו	צפון אמריקה
איי בהאמה|בהאמה	נסאו	צפון אמריקה
ברבדוס	ברידג'טאון	צפון אמריקה
טרינידד וטובגו	פורט אוף ספיין	צפון אמריקה
דומיניקה	רוזו	צפון אמריקה
גרנדה	סנט ג'ורג'ס	צפון אמריקה
סנט לוסיה	קסטריס	צפון אמריקה
אנטיגואה וברבודה	סנט ג'ונס	צפון אמריקה
סנט קיטס ונוויס	בסטר	צפון אמריקה
סנט וינסנט והגרנדינים	קינגסטאון	צפון אמריקה
ברזיל	ברזיליה	דרום אמריקה
ארגנטינה	בואנוס איירס	דרום אמריקה
צ'ילה	סנטיאגו	דרום אמריקה
פרו	לימה	דרום אמריקה
קולומביה	בוגוטה	דרום אמריקה
ונצואלה	קראקס	דרום אמריקה
אקוודור	קיטו	דרום אמריקה
בוליביה	סוקרה	דרום אמריקה
פרגוואי	אסונסיון	דרום אמריקה
אורוגוואי	מונטווידאו	דרום אמריקה
גיאנה	ג'ורג'טאון	דרום אמריקה
סורינאם	פרמריבו	דרום אמריקה
בריטניה|הממלכה המאוחדת|אנגליה	לונדון	אירופה
צרפת	פריז	אירופה
גרמניה	ברלין	אירופה
איטליה	רומא	אירופה
ספרד	מדריד	אירופה
פורטוגל	ליסבון	אירופה
הולנד	אמסטרדם	אירופה
בלגיה	בריסל	אירופה
לוקסמבורג	לוקסמבורג	אירופה
שווייץ	ברן	אירופה
אוסטריה	וינה	אירופה
אירלנד	דבלין	אירופה
סקוטלנד	אדינבורו	אירופה
וויילס	קרדיף	אירופה
איסלנד	רייקיאוויק	אירופה
נורווגיה	אוסלו	אירופה
שוודיה	שטוקהולם	אירופה
פינלנד	הלסינקי	אירופה
דנמרק	קופנהגן	אירופה
פולין	ורשה	אירופה
צ'כיה	פראג	אירופה
סלובקיה	ברטיסלבה	אירופה
הונגריה	בודפשט	אירופה
רומניה	בוקרשט	אירופה
בולגריה	סופיה	אירופה
יוון	אתונה	אירופה
קפריסין	ניקוסיה	אירופה
מלטה	ולטה	אירופה
קרואטיה	זאגרב	אירופה
סלובניה	לובליאנה	אירופה
סרביה	בלגרד	אירופה
בוסניה והרצגובינה|בוסניה	סרייבו	אירופה
מונטנגרו	פודגוריצה	אירופה
צפון מקדוניה|מקדוניה	סקופיה	אירופה
אלבניה	טירנה	אירופה
קוסובו	פרישטינה	אירופה
מולדובה	קישינב	אירופה
אוקראינה	קייב	אירופה
בלארוס	מינסק	אירופה
רוסיה	מוסקבה	אירופה
ליטא	וילנה	אירופה
לטביה	ריגה	אירופה
אסטוניה	טאלין	אירופה
מונקו	מונקו	אירופה
ליכטנשטיין	ואדוץ	אירופה
סן מרינו	סן מרינו	אירופה
אנדורה	אנדורה לה ויה	אירופה
הוותיקן|קריית הוותיקן	הוותיקן	אירופה
טורקיה	אנקרה	אסיה
גאורגיה	טביליסי	אסיה
ארמניה	ירוואן	אסיה
אזרבייג'ן	באקו	אסיה
מצרים	קהיר	אפריקה
ירדן	עמאן	אסיה
לבנון	ביירות	אסיה
סוריה	דמשק	אסיה
עיראק	בגדאד	אסיה
איראן|פרס	טהרן	אסיה
ערב הסעודית|סעודיה	ריאד	אסיה
איחוד האמירויות|האמירויות	אבו דאבי	אסיה
קטאר	דוחה	אסיה
בחריין	מנאמה	אסיה
כווית	כווית סיטי	אסיה
עומאן	מוסקט	אסיה
תימן	צנעא	אסיה
אפגניסטן	קאבול	אסיה
פקיסטן	איסלמבאד	אסיה
הודו	ניו דלהי	אסיה
נפאל	קטמנדו	אסיה
בהוטן	טהימפהו	אסיה
בנגלדש	דאקה	אסיה
סרי לנקה	קולומבו	אסיה
האיים המלדיביים|מלדיביים	מאלה	אסיה
סין	בייג'ינג	אסיה
יפן	טוקיו	אסיה
קוריאה הדרומית|דרום קוריאה	סיאול	אסיה
קוריאה הצפונית|צפון קוריאה	פיונגיאנג	אסיה
מונגוליה	אולן בטור	אסיה
טייוואן	טאיפיי	אסיה
