# מספר אטומי	שם היסוד(|שמות נוספים)	סמל
1	מימן	H
2	הליום	He
3	ליתיום	Li
4	בריליום	Be
5	בור	B
6	פחמן	C
7	חנקן	N
8	חמצן	O
9	פלואור	F
10	ניאון	Ne
11	נתרן	Na
12	מגנזיום	Mg
13	אלומיניום	Al
14	צורן|סיליקון	Si
15	זרחן	P
16	גופרית	S
17	כלור	Cl
18	ארגון	Ar
19	אשלגן	K
20	סידן	Ca
21	סקנדיום	Sc
22	טיטניום	Ti
23	ונדיום	V
24	כרום	Cr
25	מנגן	Mn
26	ברזל	Fe
27	קובלט	Co
28	ניקל	Ni
29	נחושת	Cu
30	אבץ	Zn
31	גליום	Ga
32	גרמניום	Ge
33	ארסן	As
34	סלניום	Se
35	ברום	Br
36	קריפטון	Kr
37	רובידיום	Rb
38	סטרונציום	Sr
39	איטריום	Y
40	זירקוניום	Zr
41	ניוביום	Nb
42	מוליבדן	Mo
43	טכנציום	Tc
44	רותניום	Ru
45	רודיום	Rh
46	פלדיום	Pd
47	כסף	Ag
48	קדמיום	Cd
49	אינדיום	In
50	בדיל	Sn
51	אנטימון	Sb
52	טלור	Te
53	יוד	I
54	קסנון	Xe
55	צזיום	Cs
56	בריום	Ba
57	לנתן	La
58	צריום	Ce
59	פרזאודימיום	Pr
60	נאודימיום	Nd
61	פרומתיום	Pm
62	סמריום	Sm
63	אירופיום	Eu
64	גדוליניום	Gd
65	טרביום	Tb
66	דיספרוזיום	Dy
67	הולמיום	Ho
68	ארביום	Er
69	תוליום	Tm
70	איטרביום	Yb
71	לוטטיום	Lu
72	הפניום	Hf
73	טנטלום	Ta
74	טונגסטן|וולפרם	W
75	רניום	Re
76	אוסמיום	Os
77	אירידיום	Ir
78	פלטינה	Pt
79	זהב	Au
80	כספית	Hg
81	תליום	Tl
82	עופרת	Pb
83	ביסמות	Bi
84	פולוניום	Po
85	אסטטין	At
86	ראדון	Rn
87	פרנציום	Fr
88	רדיום	Ra
89	אקטיניום	Ac
90	תוריום	Th
91	פרוטקטיניום	Pa
92	אורניום	U
93	נפטוניום	Np
94	פלוטוניום	Pu
95	אמריציום	Am
96	קיריום	Cm
97	ברקליום	Bk
98	קליפורניום	Cf
99	איינשטייניום	Es
100	פרמיום	Fm
101	מנדלביום	Md
102	נובליום	No
103	לורנציום	Lr
104	רתרפורדיום	Rf
105	דובניום	Db
106	סיבורגיום	Sg
107	בוהריום	Bh
108	הסיום	Hs
109	מייטנריום	Mt
110	דרמשטטיום	Ds
111	רנטגניום	Rg
112	קופרניקיום	Cn
113	ניהוניום	Nh
114	פלרוביום	Fl
115	מוסקוביום	Mc
116	ליברמוריום	Lv
117	טנסין	Ts
118	אוגנסון	Og
