# שם הפרשה(|שמות נוספים)	ספר - לפי סדר הקריאה
בראשית	בראשית
נח	בראשית
לך לך	בראשית
וירא	בראשית
חיי שרה	בראשית
תולדות	בראשית
ויצא	בראשית
וישלח	בראשית
וישב	בראשית
מקץ	בראשית
ויגש	בראשית
ויחי	בראשית
שמות	שמות
וארא	שמות
בא	שמות
בשלח	שמות
יתרו	שמות
משפטים	שמות
תרומה	שמות
תצוה|תצווה	שמות
כי תשא	שמות
ויקהל	שמות
פקודי	שמות
ויקרא	ויקרא
צו	ויקרא
שמיני	ויקרא
תזריע	ויקרא
מצורע	ויקרא
אחרי מות	ויקרא
קדושים	ויקרא
אמור	ויקרא
בהר	ויקרא
בחוקותי|בחקתי	ויקרא
במדבר	במדבר
נשא	במדבר
בהעלותך	במדבר
שלח|שלח לך	במדבר
קורח|קרח	במדבר
חוקת|חקת	במדבר
בלק	במדבר
פינחס|פנחס	במדבר
מטות	במדבר
מסעי	במדבר
דברים	דברים
ואתחנן	דברים
עקב	דברים
ראה	דברים
שופטים	דברים
כי תצא	דברים
כי תבוא	דברים
ניצבים|נצבים	דברים
וילך	דברים
האזינו	דברים
וזאת הברכה	דברים
