# שם(|שמות נוספים)	מי זה
אברהם אבינו|אברהם	אבי האומה העברית, הראשון מהאבות, שהאמין באל אחד
יצחק אבינו|יצחק	השני מהאבות, בנם של אברהם ושרה
יעקב אבינו|יעקב	השלישי מהאבות, שנקרא גם ישראל, אבי שנים עשר השבטים
שרה אמנו|שרה	הראשונה מהאמהות, אשתו של אברהם
רבקה אמנו|רבקה	אשתו של יצחק ואמם של יעקב ועשו
רחל אמנו|רחל	אשתו האהובה של יעקב, אמם של יוסף ובנימין
לאה אמנו|לאה	אשתו של יעקב, אמם של שישה שבטים
יוסף הצדיק|יוסף	בנו של יעקב, שנמכר למצרים והיה למשנה למלך
משה רבנו|משה	הנביא הגדול, שהוציא את בני ישראל ממצרים וקיבל את התורה בהר סיני
אהרן הכהן|אהרן	אחיו של משה, הכהן הגדול הראשון
מרים הנביאה|מרים	אחותם של משה ואהרן, נביאה
יהושע בן נון|יהושע	תלמידו של משה, שהנהיג את העם בכיבוש ארץ ישראל
דוד המלך|דוד	מלך ישראל, שהפך את ירושלים לבירה ונעים זמירות ישראל
שלמה המלך|שלמה	בנו של דוד, החכם באדם, שבנה את בית המקדש הראשון
שאול המלך|שאול	המלך הראשון של ישראל
שמואל הנביא|שמואל	נביא ושופט, שמשח את שאול ואת דוד למלכים
אליהו הנביא|אליהו	נביא בימי אחאב, שעלה בסערה השמיימה
אלישע	תלמידו של אליהו הנביא
ישעיהו הנביא|ישעיהו	מגדולי הנביאים, ניבא על אחרית הימים והשלום
ירמיהו הנביא|ירמיהו	נביא החורבן, שניבא על חורבן בית המקדש הראשון
יונה הנביא|יונה	נביא שנבלע בבטן דג גדול ונשלח לנינוה
דניאל	מגולי בבל, שניצל מגוב האריות
אסתר המלכה|אסתר	המלכה שהצילה את היהודים מגזירת המן, גיבורת מגילת אסתר
מרדכי	דודה של אסתר, מגיבורי סיפור פורים
המן	יועץ המלך אחשוורוש, שביקש להשמיד את היהודים
רות	מואביה שהצטרפה לעם ישראל, סבתא רבתא של דוד המלך
דבורה הנביאה|דבורה	נביאה ושופטת, שהנהיגה את ישראל במלחמה בסיסרא
שמשון	שופט בעל כוח עצום, שנלחם בפלשתים
גדעון	שופט שניצח את מדיין עם שלוש מאות לוחמים
יהודה המכבי	מנהיג מרד החשמונאים, שחנך מחדש את בית המקדש, וזה חג החנוכה
הלל הזקן|הלל	מגדולי החכמים בימי בית שני, הידוע בענוותנותו
שמאי	חכם בימי בית שני, בן זוגו של הלל
רבן יוחנן בן זכאי	חכם שהציל את התורה אחרי החורבן והקים את יבנה
רבי עקיבא	מגדולי התנאים, שלמד תורה מגיל ארבעים ומת על קידוש השם
רבי שמעון בר יוחאי|רשב"י	תנא, תלמידו של רבי עקיבא, שהזוהר מיוחס לו
רבי יהודה הנשיא	חתם את המשנה
רש"י	רבי שלמה יצחקי, פרשן התורה והתלמוד
הרמב"ם|רמב"ם	רבי משה בן מימון, פוסק ופילוסוף, כתב את משנה תורה ומורה נבוכים
הרמב"ן|רמב"ן	רבי משה בן נחמן, פרשן ומקובל שעלה לארץ ישראל
רבי יהודה הלוי	משורר ופילוסוף, מחבר ספר הכוזרי
רבי יוסף קארו	מחבר השולחן ערוך
האר"י הקדוש|האר"י	רבי יצחק לוריא, גדול המקובלים בצפת
הבעל שם טוב	רבי ישראל בן אליעזר, מייסד החסידות
הגאון מווילנה|הגר"א	רבי אליהו מווילנה, מגדולי התורה בליטא
החפץ חיים	רבי ישראל מאיר הכהן, מחבר ספר חפץ חיים ומשנה ברורה
הרב קוק	הרב אברהם יצחק הכהן קוק, הרב הראשי האשכנזי הראשון של ארץ ישראל
הרב עובדיה יוסף	הרב הראשי הספרדי לשעבר, מגדולי הפוסקים בדור האחרון
הרבי מלובביץ'	רבי מנחם מנדל שניאורסון, האדמו"ר השביעי של חב"ד
תיאודור הרצל|בנימין זאב הרצל|הרצל	חוזה מדינת היהודים ומייסד הציונות המדינית
דוד בן גוריון|בן גוריון	ראש הממשלה הראשון של ישראל, שהכריז על הקמת המדינה
חיים ויצמן	הנשיא הראשון של ישראל, כימאי ומנהיג ציוני
גולדה מאיר	ראשת הממשלה הרביעית של ישראל, האישה הראשונה בתפקיד
מנחם בגין	ראש הממשלה השישי, שחתם על השלום עם מצרים
יצחק רבין	ראש הממשלה, ורמטכ"ל במלחמת ששת הימים, נרצח ב-1995
שמעון פרס	ראש ממשלה ונשיא המדינה התשיעי
אריאל שרון	אלוף וראש ממשלה
