# ספר(|שמות נוספים)	מספר פרקים	חלק
בראשית	50	תורה
שמות	40	תורה
ויקרא	27	תורה
במדבר	36	תורה
דברים	34	תורה
יהושע	24	נביאים
שופטים	21	נביאים
שמואל א	31	נביאים
שמואל ב	24	נביאים
מלכים א	22	נביאים
מלכים ב	25	נביאים
ישעיהו|ישעיה	66	נביאים
ירמיהו|ירמיה	52	נביאים
יחזקאל	48	נביאים
הושע	14	נביאים
יואל	4	נביאים
עמוס	9	נביאים
עובדיה	1	נביאים
יונה	4	נביאים
מיכה	7	נביאים
נחום	3	נביאים
חבקוק	3	נביאים
צפניה	3	נביאים
חגי	2	נביאים
זכריה	14	נביאים
מלאכי	3	נביאים
תהילים|תהלים	150	כתובים
משלי	31	כתובים
איוב	42	כתובים
שיר השירים	8	כתובים
רות|מגילת רות	4	כתובים
איכה|מגילת איכה	5	כתובים
קהלת	12	כתובים
אסתר|מגילת אסתר	10	כתובים
דניאל	12	כתובים
עזרא	10	כתובים
נחמיה	13	כתובים
דברי הימים א	29	כתובים
דברי הימים ב	36	כתובים
