[1/4] loading table of contents (cached under C:\Users\yairz\Downloads\FutureOS-main\FutureOS-main\Sfarim\tools\output\_cache) ...
[2/4] loading Hebrew text index (books.json, cached) ...
      6211 titles have a Hebrew version available
[3/4] building/verifying category tree (idempotent) ...
[4/4] 6211 Hebrew books matched to the TOC; 0 already imported, 6211 to fetch now
  25/6211 books | 1680 segments | 4s elapsed | ETA 16.9min
  50/6211 books | 2653 segments | 6s elapsed | ETA 11.4min
  75/6211 books | 3109 segments | 6s elapsed | ETA 8.8min
  100/6211 books | 3261 segments | 7s elapsed | ETA 7.3min
  125/6211 books | 3350 segments | 8s elapsed | ETA 6.4min
  150/6211 books | 3439 segments | 8s elapsed | ETA 5.5min
  175/6211 books | 3730 segments | 9s elapsed | ETA 5.1min
  200/6211 books | 17990 segments | 17s elapsed | ETA 8.5min
  225/6211 books | 30483 segments | 27s elapsed | ETA 12.1min
  250/6211 books | 54962 segments | 42s elapsed | ETA 16.7min
  275/6211 books | 62530 segments | 43s elapsed | ETA 15.5min
  300/6211 books | 87968 segments | 46s elapsed | ETA 15.0min
  325/6211 books | 107623 segments | 48s elapsed | ETA 14.5min
  350/6211 books | 110841 segments | 49s elapsed | ETA 13.7min
  375/6211 books | 110993 segments | 50s elapsed | ETA 13.0min
  400/6211 books | 111171 segments | 50s elapsed | ETA 12.2min
  425/6211 books | 113824 segments | 51s elapsed | ETA 11.7min
  450/6211 books | 117473 segments | 55s elapsed | ETA 11.7min
  475/6211 books | 118964 segments | 57s elapsed | ETA 11.4min
  500/6211 books | 138685 segments | 80s elapsed | ETA 15.2min
  525/6211 books | 153641 segments | 91s elapsed | ETA 16.5min
  550/6211 books | 153858 segments | 91s elapsed | ETA 15.7min
  575/6211 books | 158137 segments | 95s elapsed | ETA 15.6min
  600/6211 books | 162492 segments | 96s elapsed | ETA 15.0min
  625/6211 books | 166596 segments | 97s elapsed | ETA 14.5min
  650/6211 books | 170874 segments | 105s elapsed | ETA 15.0min
  675/6211 books | 173668 segments | 124s elapsed | ETA 16.9min
  700/6211 books | 178642 segments | 127s elapsed | ETA 16.6min
  725/6211 books | 182554 segments | 130s elapsed | ETA 16.4min
  750/6211 books | 184405 segments | 131s elapsed | ETA 15.9min
  775/6211 books | 187568 segments | 135s elapsed | ETA 15.8min
  800/6211 books | 190044 segments | 137s elapsed | ETA 15.4min
  825/6211 books | 192299 segments | 137s elapsed | ETA 14.9min
  850/6211 books | 197323 segments | 138s elapsed | ETA 14.5min
  875/6211 books | 199923 segments | 139s elapsed | ETA 14.1min
  900/6211 books | 207480 segments | 141s elapsed | ETA 13.8min
  925/6211 books | 217814 segments | 146s elapsed | ETA 13.9min
  950/6211 books | 220380 segments | 147s elapsed | ETA 13.6min
